,experiment,template,adj,num,noun,adjclass,numclass,nounclass,sent,rating-sent,goodness-sent
0,temporal,0,astonishing,three,days,adj-ambig,num-num,noun-temporal,The family spent an astonishing three days in London., good,0.999364603110154
1,temporal,0,astonishing,three,weeks,adj-ambig,num-num,noun-temporal,The family spent an astonishing three weeks in London., good,0.9991317264278371
2,temporal,0,astonishing,three,months,adj-ambig,num-num,noun-temporal,The family spent an astonishing three months in London., good,0.9992332925404845
3,temporal,0,astonishing,three,years,adj-ambig,num-num,noun-temporal,The family spent an astonishing three years in London., good,0.9991542562430278
4,temporal,0,astonishing,three,hours,adj-ambig,num-num,noun-temporal,The family spent an astonishing three hours in London., good,0.9991420998069755
5,temporal,0,astonishing,five,days,adj-ambig,num-num,noun-temporal,The family spent an astonishing five days in London., good,0.9996533855346783
6,temporal,0,astonishing,five,weeks,adj-ambig,num-num,noun-temporal,The family spent an astonishing five weeks in London., good,0.999564875294225
7,temporal,0,astonishing,five,months,adj-ambig,num-num,noun-temporal,The family spent an astonishing five months in London., good,0.9996037943801848
8,temporal,0,astonishing,five,years,adj-ambig,num-num,noun-temporal,The family spent an astonishing five years in London., good,0.999584187324063
9,temporal,0,astonishing,five,hours,adj-ambig,num-num,noun-temporal,The family spent an astonishing five hours in London., good,0.9995722668039373
10,temporal,0,astonishing,twenty,days,adj-ambig,num-num,noun-temporal,The family spent an astonishing twenty days in London., good,0.9994332682531375
11,temporal,0,astonishing,twenty,weeks,adj-ambig,num-num,noun-temporal,The family spent an astonishing twenty weeks in London., good,0.9991243962648674
12,temporal,0,astonishing,twenty,months,adj-ambig,num-num,noun-temporal,The family spent an astonishing twenty months in London., good,0.9992604151278139
13,temporal,0,astonishing,twenty,years,adj-ambig,num-num,noun-temporal,The family spent an astonishing twenty years in London., good,0.9993887432935444
14,temporal,0,astonishing,twenty,hours,adj-ambig,num-num,noun-temporal,The family spent an astonishing twenty hours in London., good,0.9993987544705754
15,temporal,0,incredible,three,days,adj-ambig,num-num,noun-temporal,The family spent an incredible three days in London., good,0.9986126878085086
16,temporal,0,incredible,three,weeks,adj-ambig,num-num,noun-temporal,The family spent an incredible three weeks in London., good,0.9983414870551595
17,temporal,0,incredible,three,months,adj-ambig,num-num,noun-temporal,The family spent an incredible three months in London., good,0.9984794712769615
18,temporal,0,incredible,three,years,adj-ambig,num-num,noun-temporal,The family spent an incredible three years in London., good,0.9981741154590389
19,temporal,0,incredible,three,hours,adj-ambig,num-num,noun-temporal,The family spent an incredible three hours in London., good,0.9975670381609115
20,temporal,0,incredible,five,days,adj-ambig,num-num,noun-temporal,The family spent an incredible five days in London., good,0.9993313430507605
21,temporal,0,incredible,five,weeks,adj-ambig,num-num,noun-temporal,The family spent an incredible five weeks in London., good,0.9990700965284558
22,temporal,0,incredible,five,months,adj-ambig,num-num,noun-temporal,The family spent an incredible five months in London., good,0.9991991403094423
23,temporal,0,incredible,five,years,adj-ambig,num-num,noun-temporal,The family spent an incredible five years in London., good,0.9990759361102362
24,temporal,0,incredible,five,hours,adj-ambig,num-num,noun-temporal,The family spent an incredible five hours in London., good,0.9988941436103422
25,temporal,0,incredible,twenty,days,adj-ambig,num-num,noun-temporal,The family spent an incredible twenty days in London., good,0.998467193749323
26,temporal,0,incredible,twenty,weeks,adj-ambig,num-num,noun-temporal,The family spent an incredible twenty weeks in London., good,0.997698407734602
